alcohol name,concentration,number of water molecules,number of alcohol molecules,number of C,number of O,number of single bond,tc-virial[W/m.K],visc[mPa.s],main branch carbon,C1,C2,C3
methanol,2,2082,24,1,1,5,0.7988736084,1.974843729,1,1,0,0
methanol,6,1976,71,1,1,5,0.7371652978,2.158389104,1,1,0,0
methanol,10,1873,117,1,1,5,0.7350296281,2.47159863,1,1,0,0
methanol,20,1623,228,1,1,5,0.604946566,2.651306618,1,1,0,0
methanol,30,1386,334,1,1,5,0.5211321048,2.91470774,1,1,0,0
methanol,40,1160,435,1,1,5,0.4960457474,2.635284886,1,1,0,0
methanol,50,944,531,1,1,5,0.4272881287,2.54969027,1,1,0,0
methanol,60,738,623,1,1,5,0.3863061926,2.092022162,1,1,0,0
methanol,70,541,710,1,1,5,0.3328785334,1.48862722,1,1,0,0
ethanol,2,2081,17,2,1,8,0.7842333386,1.525475248,2,1,0,0
ethanol,6,1976,49,2,1,8,0.745210388,2.336924598,2,1,0,0
ethanol,10,1872,81,2,1,8,0.7147238199,2.936681065,2,1,0,0
ethanol,14,1771,113,2,1,8,0.6658055099,3.356086065,2,1,0,0
ethanol,18,1671,143,2,1,8,0.6696566756,4.379434882,2,1,0,0
ethanol,20,1622,159,2,1,8,0.5898010501,4.20955574,2,1,0,0
ethanol,30,1385,232,2,1,8,0.5227192881,5.153756431,2,1,0,0
ethanol,40,1158,302,2,1,8,0.4503273217,5.056928444,2,1,0,0
ethanol,50,943,369,2,1,8,0.3954261601,5.347881799,2,1,0,0
ethylene glycol,2,2097,12,2,2,9,0.7944934756,2.095255188,2,1,1,0
ethylene glycol,4,2058,25,2,2,9,0.7817866318,2.032158524,2,1,1,0
ethylene glycol,6,2020,37,2,2,9,0.8013496265,2.145485177,2,1,1,0
ethylene glycol,8,1981,50,2,2,9,0.7623943787,2.453046671,2,1,1,0
ethylene glycol,10,1942,63,2,2,9,0.7451748041,2.580714504,2,1,1,0
ethylene glycol,12,1903,75,2,2,9,0.7281066648,2.603643987,2,1,1,0
ethylene glycol,14,1863,88,2,2,9,0.7325527945,2.636027737,2,1,1,0
ethylene glycol,20,1744,127,2,2,9,0.6663305791,3.123379724,2,1,1,0
ethylene glycol,30,1543,192,2,2,9,0.5810035385,4.325990897,2,1,1,0
ethylene glycol,34,1461,218,2,2,9,0.5752869848,4.808651469,2,1,1,0
ethylene glycol,36,1420,232,2,2,9,0.5883749975,5.626929338,2,1,1,0
ethylene glycol,38,1378,245,2,2,9,0.5516268706,5.278613819,2,1,1,0
ethylene glycol,40,1337,259,2,2,9,0.5779700787,5.729145116,2,1,1,0
ethylene glycol,42,1295,272,2,2,9,0.5443064569,5.949372976,2,1,1,0
ethylene glycol,44,1253,286,2,2,9,0.4976673419,6.885770741,2,1,1,0
ethylene glycol,50,1126,327,2,2,9,0.4913879803,8.133366145,2,1,1,0
1-propanol,2,2082,13,3,1,11,0.8030948172,2.113195964,3,1,0,0
1-propanol,6,1978,38,3,1,11,0.7498261299,2.600757771,3,1,0,0
1-propanol,8,1927,50,3,1,11,0.7395464442,2.881797829,3,1,0,0
1-propanol,10,1876,62,3,1,11,0.7416932504,3.144278353,3,1,0,0
1-propanol,20,1629,122,3,1,11,0.6433352168,5.034910094,3,1,0,0
1-propanol,30,1394,179,3,1,11,0.5264293615,5.721885739,3,1,0,0
1-propanol,40,1168,233,3,1,11,0.4295939137,5.266131448,3,1,0,0
1-propanol,50,953,286,3,1,11,0.3902596436,5.263776612,3,1,0,0
2-propanol,2,2082,13,3,1,11,0.7442220686,2.092177646,2,0,1,0
2-propanol,6,1978,38,3,1,11,0.7139637117,2.76640562,2,0,1,0
2-propanol,10,1876,62,3,1,11,0.6991812477,3.040209511,2,0,1,0
2-propanol,14,1776,87,3,1,11,0.6502262944,4.080781062,2,0,1,0
2-propanol,18,1678,110,3,1,11,0.657574083,5.023224623,2,0,1,0
2-propanol,20,1629,122,3,1,11,0.627131839,5.364485346,2,0,1,0
2-propanol,30,1394,179,3,1,11,0.5237937255,6.800905166,2,0,1,0
2-propanol,40,1168,233,3,1,11,0.4825599061,7.749086064,2,0,1,0
